Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Abkhazia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;157886;157886;157886;157886;157886;157886;157886;157886;157886;157886;157886;157924;157999;158112;158263;158453;158681;158947;159253;159597;159981;160404;160867;161370;161912;162495;163119;163782;164487;165233;166020;166849;167681;168518;169359;170204;171054;171907;172765;173628;174494;175365;176240;177120;178003;178892;179785;180682;181583;182490;183400;184175;184953;185734;186518;187306;188096;188890;189687;190487;191291;192119;192972;193850;194753;195681;196635;197615;198621;199653;200712;201798;202911;203921;205094;206299;207533;208723;210038;211388;212746;214084;215459;216843;218210;219611;221021;222418;223846;225283;226729;228184;229649;231122;232605;234098;235600;237111;238632;240162;241702;243252;244791;246360;247940;249529;251128;252707;254326;255956;257596;259237;260897;262775;264873;267194;269535;271896;274572;277200;279854;282533;285237;287967;290724;293507;297488;301124;305201;309328;313201,428571429;317074,857142857;320948,285714286;324821,714285714;328695,142857143;332568,571428571;336442;340315,428571429;344188,857142857;348062,285714286;351935,714285714;355809,142857143;359682,571428571;363556;367429,428571429;371302,857142857;375176,285714286;379049,714285714;382923,142857143;386796,571428571;390670;393588;399622;406049;412869;420083;427693;435701;444111;452930;462164;471820;481897;492387;503275;514618;526501;538891;551669;564658;577829;591199;604537;617422;629328;639447;646944;651419;652733;650961;645953;637663;627012;615361;604131;595107;590014;589949;595717;607863;626855;652699;684066;719350;757247;796351;835399;873434;909524;942789;972843;999831;1024319;1046570;1066283;1082591;1094454;1101497;1103891;1102262;1097839;1092181;1086791;1082800;1080751;1080621
Akrotiri and Dhekelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;13507;13549;13592;13635;13677;13720;13763;13807;13850;13893;13940;13984;14030;14077;14125;14174;14224;14275;14328;14381;14436;14492;14549;14607;14666;14726;14788;14851;14915;14980;15047;15114;15182;15251;15319;15388;15457;15527;15597;15667;15737;15812;15891;15974;16062;16154;16250;16351;16456;16566;16681;16809;16942;17080;17223;17371;17524;17683;17847;18017;18192;18372;18554;18738;18924;19111;19300;19491;19684;19879;20075;20273;20473;20670;20874;21080;21287;21492;21703;21917;22132;22345;22564;22786;23006;23233;23463;23690;23926;24165;24407;24653;24903;25155;25412;25671;25933;26194;26457;26720;26983;27247;27512;27776;28039;28302;28568;28831;29102;29376;29654;29933;30220;30471;30686;30865;31045;31225;31386;31553;31722;31891;32061;32232;32390;32561;31595;30691;29702;28701;29621,0952380952;30541,1904761905;31461,2857142857;32381,380952381;33301,4761904762;34221,5714285714;35141,6666666667;36061,7619047619;36981,8571428571;37901,9523809524;38822,0476190476;39742,1428571429;40662,2380952381;41582,3333333333;42502,4285714286;43422,5238095238;44342,619047619;45262,7142857143;46182,8095238095;47102,9047619048;48023;49305;51813;54211;56497;58669;60715;62625;64375;65919;67213;68214;68892;69246;69318;69185;68943;68695;68524;68477;68564;68756;68992;69230;69472;69730;70029;70401;70873;71461;72225;73232;74467;75859;77304;78650;79728;80393;80534;80083;78993;77265;75023;72402;69499;66418;63245;60049;56899;53865;50954;48128;45354;42654;40107;37870;36123;34964;34424;34473;35019;35920;36972;37993;38869;39526
Algeria;120336;120768;121201;121635;122071;122509;122949;123389;123832;124276;124751;125218;125707;126218;126751;127306;127884;128484;129108;129754;130425;131118;131836;132578;133344;134135;134951;135791;136657;137549;138466;139409;140359;141315;142278;143248;144224;145206;146195;147191;148194;149204;150220;151244;152274;153312;154356;155408;156467;157533;158606;159711;160823;161944;163072;164208;165351;166503;167663;168831;170007;171208;172435;173687;174966;176271;177603;178962;180349;181763;183206;184677;186178;187584;189148;190744;192372;193955;195665;197411;199172;200909;202702;204511;206299;208140;209998;211839;213730;215637;217562;219503;221462;223438;225432;227444;229473;231521;233587;235672;237775;239897;242007;244166;246345;248543;250761;252954;255211;257488;259786;262091;264430;267135;270213;273673;277177;280726;284264;287860;291502;295190;298925;302707;306537;310416;315588;320841;325751;331165;337000,523809524;342836,047619048;348671,571428571;354507,095238095;360342,619047619;366178,142857143;372013,666666667;377849,19047619;383684,714285714;389520,238095238;395355,761904762;401191,285714286;407026,80952381;412862,333333333;418697,857142857;424533,380952381;430368,904761905;436204,428571429;442039,952380952;447875,476190476;453711;457146;464481;472747;481945;492058;503038;514816;527265;540155;553229;566233;578935;591226;603163;615014;627183;640077;653962;668896;684931;702021;719787;737766;755553;772742;788991;804044;817637;829490;839472;847603;854004;858700;861550;862446;861296;857960;852249;843956;832268;816235;795834;771699;744913;716651;688187;661315;638020;620107;609895;609360;618533;636715;663011;696376;735414;777471;819552;859023;892871;918607;935699;944180;944133;936377
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;74734;74734;74734;74734;74734;74734;74734;74834;74834;74834;74834;74860;74912;74990;75095;75226;75385;75570;75783;76023;76291;76688;77012;77364;77745;78155;78593;79061;79558;80085;80641;81227;81818;82413;83012;83727;84335;84949;85566;86189;86815;87446;88082;88723;89368;90018;90672;91331;91995;92787;93462;94209;94961;95720;96484;97255;98032;98815;99604;100399;101201;102009;102824;103782;104610;105445;106287;107135;107990;108852;109721;110596;111479;112349;113245;114148;115059;116112;117038;117971;118912;119844;120799;121762;122718;123697;124683;125664;126665;127675;128692;129889;130924;131968;133019;134079;135147;136224;137309;138403;139506;140617;141724;142853;143991;145329;146486;147634;148809;149994;151188;152386;153599;154822;156054;157296;158548;159809;160935;162318;163498;164687;165885;167091;168306;169530;170762;171778;173027;174055;177616,333333333;181177,666666667;184739;188300,333333333;191861,666666667;195423;198984,333333333;202545,666666667;206107;209668,333333333;213229,666666667;216791;220352,333333333;223913,666666667;227475;231036,333333333;234597,666666667;238159;241720,333333333;245281,666666667;248843;250952;255148;259296;263398;267453;271456;275412;279323;283191;287024;290843;294686;298617;302722;307076;311740;316783;322292;328361;335087;342544;350742;359681;369371;379825;391040;402952;415474;428528;442027;455890;470063;484492;499133;513945;528916;544088;559513;575224;591260;607663;624468;641710;659412;677555;696089;714996;734301;754071;774502;795834;818158;841444;865557;890209;915033;939691;963945;987705;1011005;1034009;1057020;1080284;1103901;1127928
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;1312;1312;1309;1309;1309;1307;1307;1304;1304;1304;1302;1302;1302;1300;1300;1297;1297;1297;1295;1295;1295;1293;1293;1293;1290;1290;1288;1288;1288;1286;1286;1286;1283;1283;1281;1281;1281;1279;1279;1279;1276;1276;1274;1274;1274;1272;1272;1272;1269;1269;1269;1267;1266;1263;1262;1261;1257;1254;1252;1247;1244;1238;1235;1232;1226;1223;1219;1214;1210;1207;1201;1198;1193;1188;1186;1183;1182;1180;1179;1181;1181;1183;1186;1188;1191;1196;1198;1204;1206;1209;1210;1208;1208;1206;1200;1196;1191;1181;1174;1164;1156;1148;1138;1129;1120;1108;1098;1086;1076;1066;1055;1046;1038;1029;1023;1016;1007;1001;992;986;980;978;985;998;1010;1023;1035;1049;1063;1076;1105,61904761905;1135,2380952381;1164,85714285714;1194,47619047619;1224,09523809524;1253,71428571429;1283,33333333333;1312,95238095238;1342,57142857143;1372,19047619048;1401,80952380952;1431,42857142857;1461,04761904762;1490,66666666667;1520,28571428571;1549,90476190476;1579,52380952381;1609,14285714286;1638,7619047619;1668,38095238095;1698;1712;1738;1760;1777;1791;1801;1807;1812;1816;1822;1830;1844;1862;1884;1907;1928;1944;1951;1946;1926;1885;1826;1751;1665;1575;1491;1418;1361;1322;1300;1288;1281;1272;1259;1243;1224;1207;1195;1189;1193;1208;1234;1270;1314;1363;1412;1459;1499;1531;1553;1563;1565;1561;1551;1538;1523;1509;1497;1487;1481;1478;1479;1481;1484;1488
