x,y,r,g,b,a,genderX,districtX,ageX,random
97,212,0,85,87,255,0,170.66666666666666,174.68235294117648,327
391,386,255,255,195,255,512,512.0,391.52941176470586,372
375,40,255,85,21,255,512,170.66666666666666,42.16470588235294,249
103,187,255,255,213,255,512,512.0,427.67058823529413,299
236,200,255,170,42,255,512,341.3333333333333,84.32941176470588,383
114,459,0,255,141,255,0,512.0,283.1058823529412,496
283,492,255,0,63,255,512,0.0,126.49411764705883,31
109,192,0,170,3,255,0,341.3333333333333,6.023529411764706,175
246,78,255,255,72,255,512,512.0,144.56470588235294,393
354,334,255,0,99,255,512,0.0,198.7764705882353,38
493,471,0,255,18,255,0,512.0,36.141176470588235,63
50,415,0,0,234,255,0,0.0,469.83529411764704,173
506,133,0,255,159,255,0,512.0,319.2470588235294,248
248,454,255,255,168,255,512,512.0,337.3176470588235,138
246,142,255,255,90,255,512,512.0,180.7058823529412,105
130,4,255,85,126,255,512,170.66666666666666,252.98823529411766,85
148,484,255,170,129,255,512,341.3333333333333,259.01176470588234,6
413,289,255,85,18,255,512,170.66666666666666,36.141176470588235,252
184,34,0,0,51,255,0,0.0,102.4,69
132,226,0,255,150,255,0,512.0,301.1764705882353,272
244,239,255,255,144,255,512,512.0,289.1294117647059,360
108,287,0,170,96,255,0,341.3333333333333,192.75294117647059,443
83,330,255,170,66,255,512,341.3333333333333,132.51764705882354,247
510,313,255,0,213,255,512,0.0,427.67058823529413,274
136,72,0,0,33,255,0,0.0,66.25882352941177,133
492,485,255,0,162,255,512,0.0,325.2705882352941,246
318,62,255,255,207,255,512,512.0,415.6235294117647,169
284,62,0,255,99,255,0,512.0,198.7764705882353,412
255,397,255,255,60,255,512,512.0,120.47058823529412,145
338,451,0,170,207,255,0,341.3333333333333,415.6235294117647,391
167,278,255,0,177,255,512,0.0,355.38823529411764,157
141,452,0,170,156,255,0,341.3333333333333,313.22352941176473,129
112,395,255,85,237,255,512,170.66666666666666,475.8588235294118,32
298,141,0,0,135,255,0,0.0,271.05882352941177,447
69,114,0,170,183,255,0,341.3333333333333,367.43529411764706,499
218,136,0,0,189,255,0,0.0,379.4823529411765,224
276,11,255,0,18,255,512,0.0,36.141176470588235,314
322,81,0,170,204,255,0,341.3333333333333,409.6,411
306,396,0,170,255,255,0,341.3333333333333,512.0,412
197,99,0,255,111,255,0,512.0,222.87058823529412,448
476,467,255,85,252,255,512,170.66666666666666,505.9764705882353,0
199,115,0,255,153,255,0,512.0,307.2,463
45,457,0,170,42,255,0,341.3333333333333,84.32941176470588,273
282,350,0,85,105,255,0,170.66666666666666,210.8235294117647,219
500,322,0,255,96,255,0,512.0,192.75294117647059,409
35,215,255,255,126,255,512,512.0,252.98823529411766,172
100,236,0,255,207,255,0,512.0,415.6235294117647,134
127,41,0,85,141,255,0,170.66666666666666,283.1058823529412,103
259,350,0,85,18,255,0,170.66666666666666,36.141176470588235,181
110,469,255,85,30,255,512,170.66666666666666,60.23529411764706,178
238,443,0,0,84,255,0,0.0,168.65882352941176,390
380,101,255,255,237,255,512,512.0,475.8588235294118,384
252,364,255,85,198,255,512,170.66666666666666,397.5529411764706,10
102,4,0,85,150,255,0,170.66666666666666,301.1764705882353,87
346,30,255,255,213,255,512,512.0,427.67058823529413,147
245,468,255,255,141,255,512,512.0,283.1058823529412,270
29,43,255,85,189,255,512,170.66666666666666,379.4823529411765,471
234,147,255,255,15,255,512,512.0,30.11764705882353,428
268,298,255,85,57,255,512,170.66666666666666,114.44705882352942,187
219,502,255,255,111,255,512,512.0,222.87058823529412,150
383,4,255,85,195,255,512,170.66666666666666,391.52941176470586,41
313,374,0,255,204,255,0,512.0,409.6,300
17,479,255,0,102,255,512,0.0,204.8,202
457,61,255,255,102,255,512,512.0,204.8,53
50,12,0,85,171,255,0,170.66666666666666,343.3411764705882,169
196,378,255,0,162,255,512,0.0,325.2705882352941,427
436,512,255,85,168,255,512,170.66666666666666,337.3176470588235,236
2,28,255,170,153,255,512,341.3333333333333,307.2,13
355,254,255,170,51,255,512,341.3333333333333,102.4,189
96,470,255,0,150,255,512,0.0,301.1764705882353,201
81,140,0,0,57,255,0,0.0,114.44705882352942,479
488,361,0,170,201,255,0,341.3333333333333,403.5764705882353,508
385,309,255,0,24,255,512,0.0,48.188235294117646,107
166,308,255,85,72,255,512,170.66666666666666,144.56470588235294,96
7,74,0,0,60,255,0,0.0,120.47058823529412,165
259,371,255,85,240,255,512,170.66666666666666,481.88235294117646,117
347,211,0,255,81,255,0,512.0,162.63529411764705,347
168,185,255,85,132,255,512,170.66666666666666,265.0352941176471,222
509,337,255,0,96,255,512,0.0,192.75294117647059,195
483,135,0,170,63,255,0,341.3333333333333,126.49411764705883,220
256,469,255,170,102,255,512,341.3333333333333,204.8,113
155,216,255,85,69,255,512,170.66666666666666,138.54117647058823,277
444,18,0,170,15,255,0,341.3333333333333,30.11764705882353,10
364,451,0,85,159,255,0,170.66666666666666,319.2470588235294,319
302,492,255,85,24,255,512,170.66666666666666,48.188235294117646,402
262,62,0,85,225,255,0,170.66666666666666,451.7647058823529,451
72,65,0,0,129,255,0,0.0,259.01176470588234,191
364,93,0,0,69,255,0,0.0,138.54117647058823,0
147,0,0,255,159,255,0,512.0,319.2470588235294,91
40,309,0,255,222,255,0,512.0,445.74117647058824,402
185,240,255,0,171,255,512,0.0,343.3411764705882,313
259,380,255,85,216,255,512,170.66666666666666,433.6941176470588,193
492,87,0,85,54,255,0,170.66666666666666,108.4235294117647,441
210,503,255,170,81,255,512,341.3333333333333,162.63529411764705,486
445,160,255,0,48,255,512,0.0,96.37647058823529,273
108,372,255,170,96,255,512,341.3333333333333,192.75294117647059,499
487,444,0,255,255,255,0,512.0,512.0,200
308,97,0,0,177,255,0,0.0,355.38823529411764,492
490,149,0,170,87,255,0,341.3333333333333,174.68235294117648,297
150,101,255,0,210,255,512,0.0,421.6470588235294,467
318,9,255,255,231,255,512,512.0,463.81176470588235,115
224,159,255,0,189,255,512,0.0,379.4823529411765,159
479,228,0,255,78,255,0,512.0,156.61176470588236,229
95,50,0,255,213,255,0,512.0,427.67058823529413,477
261,400,255,170,126,255,512,341.3333333333333,252.98823529411766,377
287,247,255,170,135,255,512,341.3333333333333,271.05882352941177,124
213,144,0,0,27,255,0,0.0,54.21176470588235,270
339,185,255,0,132,255,512,0.0,265.0352941176471,32
98,419,255,85,96,255,512,170.66666666666666,192.75294117647059,120
198,126,255,85,108,255,512,170.66666666666666,216.8470588235294,297
412,441,255,170,27,255,512,341.3333333333333,54.21176470588235,201
505,401,0,255,75,255,0,512.0,150.58823529411765,225
282,378,0,85,27,255,0,170.66666666666666,54.21176470588235,471
284,122,255,85,186,255,512,170.66666666666666,373.45882352941175,21
218,334,0,170,39,255,0,341.3333333333333,78.30588235294118,100
332,34,0,255,198,255,0,512.0,397.5529411764706,423
253,5,0,0,30,255,0,0.0,60.23529411764706,346
24,379,255,0,204,255,512,0.0,409.6,438
502,236,255,0,186,255,512,0.0,373.45882352941175,14
8,465,0,0,75,255,0,0.0,150.58823529411765,73
158,466,0,170,135,255,0,341.3333333333333,271.05882352941177,101
155,458,0,85,81,255,0,170.66666666666666,162.63529411764705,134
280,361,0,255,168,255,0,512.0,337.3176470588235,500
418,486,255,85,75,255,512,170.66666666666666,150.58823529411765,219
451,253,0,0,159,255,0,0.0,319.2470588235294,415
55,273,255,170,9,255,512,341.3333333333333,18.070588235294117,424
315,499,255,255,204,255,512,512.0,409.6,269
505,324,0,85,93,255,0,170.66666666666666,186.72941176470587,338
209,394,255,85,135,255,512,170.66666666666666,271.05882352941177,279
28,395,0,85,207,255,0,170.66666666666666,415.6235294117647,299
399,223,255,255,120,255,512,512.0,240.94117647058823,15
233,180,255,255,237,255,512,512.0,475.8588235294118,365
72,344,0,170,9,255,0,341.3333333333333,18.070588235294117,477
310,224,255,255,63,255,512,512.0,126.49411764705883,106
73,494,0,0,51,255,0,0.0,102.4,462
198,264,0,85,237,255,0,170.66666666666666,475.8588235294118,81
282,374,255,0,198,255,512,0.0,397.5529411764706,271
370,269,255,170,192,255,512,341.3333333333333,385.50588235294117,299
248,72,255,85,126,255,512,170.66666666666666,252.98823529411766,477
113,425,0,255,45,255,0,512.0,90.3529411764706,236
51,485,0,255,3,255,0,512.0,6.023529411764706,204
166,342,0,85,117,255,0,170.66666666666666,234.91764705882352,134
201,275,255,255,180,255,512,512.0,361.4117647058824,107
94,253,0,0,132,255,0,0.0,265.0352941176471,4
213,316,255,255,168,255,512,512.0,337.3176470588235,309
71,147,0,85,3,255,0,170.66666666666666,6.023529411764706,96
420,386,0,170,231,255,0,341.3333333333333,463.81176470588235,175
202,87,0,85,231,255,0,170.66666666666666,463.81176470588235,264
315,200,255,170,132,255,512,341.3333333333333,265.0352941176471,10
209,354,0,255,126,255,0,512.0,252.98823529411766,405
213,123,0,0,84,255,0,0.0,168.65882352941176,358
508,10,255,85,192,255,512,170.66666666666666,385.50588235294117,450
414,58,255,170,255,255,512,341.3333333333333,512.0,148
267,309,0,0,180,255,0,0.0,361.4117647058824,80
185,479,0,255,213,255,0,512.0,427.67058823529413,87
92,187,0,85,246,255,0,170.66666666666666,493.9294117647059,445
118,242,0,0,201,255,0,0.0,403.5764705882353,313
43,32,0,170,3,255,0,341.3333333333333,6.023529411764706,132
15,325,255,255,36,255,512,512.0,72.28235294117647,504
374,462,0,85,9,255,0,170.66666666666666,18.070588235294117,218
162,447,255,170,213,255,512,341.3333333333333,427.67058823529413,65
452,157,0,85,246,255,0,170.66666666666666,493.9294117647059,196
115,256,0,255,3,255,0,512.0,6.023529411764706,39
54,446,0,255,66,255,0,512.0,132.51764705882354,465
311,464,255,85,216,255,512,170.66666666666666,433.6941176470588,99
192,35,0,85,0,255,0,170.66666666666666,0.0,405
366,297,0,0,90,255,0,0.0,180.7058823529412,320
130,96,255,85,6,255,512,170.66666666666666,12.047058823529412,334
321,229,255,255,195,255,512,512.0,391.52941176470586,25
211,380,255,255,78,255,512,512.0,156.61176470588236,506
204,428,255,0,189,255,512,0.0,379.4823529411765,99
333,283,0,85,135,255,0,170.66666666666666,271.05882352941177,16
351,416,0,85,81,255,0,170.66666666666666,162.63529411764705,161
199,61,255,0,228,255,512,0.0,457.78823529411767,494
88,385,0,85,21,255,0,170.66666666666666,42.16470588235294,444
437,398,0,255,60,255,0,512.0,120.47058823529412,484
186,2,0,0,222,255,0,0.0,445.74117647058824,325
165,144,255,255,63,255,512,512.0,126.49411764705883,85
454,447,0,85,219,255,0,170.66666666666666,439.7176470588235,164
49,482,0,170,21,255,0,341.3333333333333,42.16470588235294,310
90,312,255,170,111,255,512,341.3333333333333,222.87058823529412,484
498,278,255,85,246,255,512,170.66666666666666,493.9294117647059,170
405,96,0,170,219,255,0,341.3333333333333,439.7176470588235,230
275,183,0,0,177,255,0,0.0,355.38823529411764,251
455,172,0,0,57,255,0,0.0,114.44705882352942,265
18,350,0,85,126,255,0,170.66666666666666,252.98823529411766,255
79,382,255,85,201,255,512,170.66666666666666,403.5764705882353,324
185,151,0,0,228,255,0,0.0,457.78823529411767,128
459,42,0,170,201,255,0,341.3333333333333,403.5764705882353,302
397,314,0,0,177,255,0,0.0,355.38823529411764,497
424,55,255,255,99,255,512,512.0,198.7764705882353,398
494,270,255,170,87,255,512,341.3333333333333,174.68235294117648,142
190,109,0,170,195,255,0,341.3333333333333,391.52941176470586,318
414,167,255,0,102,255,512,0.0,204.8,354
195,344,255,0,180,255,512,0.0,361.4117647058824,235
506,299,0,0,27,255,0,0.0,54.21176470588235,470
6,419,0,0,228,255,0,0.0,457.78823529411767,298
189,171,255,85,75,255,512,170.66666666666666,150.58823529411765,44
142,511,255,255,186,255,512,512.0,373.45882352941175,149
176,13,255,0,162,255,512,0.0,325.2705882352941,17
445,193,255,170,213,255,512,341.3333333333333,427.67058823529413,420
348,463,255,0,189,255,512,0.0,379.4823529411765,306
6,229,0,0,156,255,0,0.0,313.22352941176473,415
179,119,0,85,135,255,0,170.66666666666666,271.05882352941177,25
65,512,255,0,108,255,512,0.0,216.8470588235294,195
264,337,255,85,159,255,512,170.66666666666666,319.2470588235294,117
366,372,0,0,3,255,0,0.0,6.023529411764706,69
488,304,0,0,219,255,0,0.0,439.7176470588235,349
158,510,0,170,12,255,0,341.3333333333333,24.094117647058823,284
218,330,255,0,114,255,512,0.0,228.89411764705883,405
101,223,255,170,159,255,512,341.3333333333333,319.2470588235294,452
408,218,0,255,15,255,0,512.0,30.11764705882353,422
171,203,255,255,174,255,512,512.0,349.36470588235295,192
336,225,255,170,27,255,512,341.3333333333333,54.21176470588235,354
426,489,255,0,3,255,512,0.0,6.023529411764706,475
457,100,255,0,252,255,512,0.0,505.9764705882353,329
184,465,0,255,219,255,0,512.0,439.7176470588235,392
217,41,255,85,237,255,512,170.66666666666666,475.8588235294118,68
329,303,255,170,45,255,512,341.3333333333333,90.3529411764706,213
218,182,255,255,120,255,512,512.0,240.94117647058823,337
378,416,255,85,240,255,512,170.66666666666666,481.88235294117646,399
301,244,255,0,147,255,512,0.0,295.15294117647056,463
118,71,0,85,15,255,0,170.66666666666666,30.11764705882353,264
367,321,255,0,108,255,512,0.0,216.8470588235294,129
195,289,0,85,60,255,0,170.66666666666666,120.47058823529412,187
23,221,0,0,195,255,0,0.0,391.52941176470586,429
347,106,255,255,156,255,512,512.0,313.22352941176473,166
186,283,0,0,126,255,0,0.0,252.98823529411766,53
455,347,255,170,123,255,512,341.3333333333333,246.96470588235294,178
475,370,0,170,84,255,0,341.3333333333333,168.65882352941176,233
220,98,0,0,147,255,0,0.0,295.15294117647056,181
48,320,255,0,222,255,512,0.0,445.74117647058824,371
54,263,255,170,219,255,512,341.3333333333333,439.7176470588235,86
246,180,255,170,105,255,512,341.3333333333333,210.8235294117647,128
60,242,255,85,111,255,512,170.66666666666666,222.87058823529412,272
375,405,0,255,87,255,0,512.0,174.68235294117648,138
134,466,0,85,246,255,0,170.66666666666666,493.9294117647059,271
483,93,255,170,210,255,512,341.3333333333333,421.6470588235294,477
432,327,255,0,162,255,512,0.0,325.2705882352941,185
482,280,0,255,12,255,0,512.0,24.094117647058823,80
130,114,0,0,33,255,0,0.0,66.25882352941177,299
147,356,255,255,15,255,512,512.0,30.11764705882353,67
402,180,0,0,27,255,0,0.0,54.21176470588235,190
455,474,255,255,240,255,512,512.0,481.88235294117646,60
